,country,year,cases,sex,age
0,AD,1996,0,m,0--14
1,AD,1997,0,m,0--14
2,AD,1998,0,m,0--14
3,AD,1999,0,m,0--14
4,AD,2000,0,m,0--14
5,AD,2001,0,m,0--14
6,AD,2002,0,m,0--14
7,AD,2003,0,m,0--14
8,AD,2004,0,m,0--14
9,AD,2005,0,m,0--14
10,AD,2006,0,m,0--14
11,AD,2008,0,m,0--14
12,AE,1999,4,m,0--14
13,AE,2000,2,m,0--14
14,AE,2002,1,m,0--14
15,AE,2003,2,m,0--14
16,AE,2004,1,m,0--14
17,AE,2006,0,m,0--14
18,AE,2007,2,m,0--14
19,AE,2008,0,m,0--14
20,AF,1997,0,m,0--14
21,AF,1998,30,m,0--14
22,AF,1999,8,m,0--14
23,AF,2000,52,m,0--14
24,AF,2001,129,m,0--14
25,AF,2002,90,m,0--14
26,AF,2003,127,m,0--14
27,AF,2004,139,m,0--14
28,AF,2005,151,m,0--14
29,AF,2006,193,m,0--14
30,AF,2007,186,m,0--14
31,AF,2008,187,m,0--14
32,AG,1996,0,m,0--14
33,AG,2000,0,m,0--14
34,AG,2002,0,m,0--14
35,AG,2003,0,m,0--14
36,AG,2007,0,m,0--14
37,AI,2004,0,m,0--14
38,AL,1995,0,m,0--14
39,AL,1997,0,m,0--14
40,AL,1998,1,m,0--14
41,AL,1999,0,m,0--14
42,AL,2000,2,m,0--14
43,AL,2001,3,m,0--14
44,AL,2002,0,m,0--14
45,AL,2003,0,m,0--14
46,AL,2004,5,m,0--14
47,AL,2005,0,m,0--14
48,AL,2006,5,m,0--14
49,AL,2007,0,m,0--14
50,AL,2008,1,m,0--14
51,AM,1995,1,m,0--14
52,AM,1996,2,m,0--14
53,AM,1997,2,m,0--14
54,AM,1998,2,m,0--14
55,AM,1999,4,m,0--14
56,AM,2000,2,m,0--14
57,AM,2001,2,m,0--14
58,AM,2002,1,m,0--14
59,AM,2003,12,m,0--14
60,AM,2004,2,m,0--14
61,AM,2005,3,m,0--14
62,AM,2006,0,m,0--14
63,AM,2007,1,m,0--14
64,AM,2008,0,m,0--14
65,AN,1996,0,m,0--14
66,AN,1997,0,m,0--14
67,AN,1998,0,m,0--14
68,AN,1999,0,m,0--14
69,AN,2000,0,m,0--14
70,AN,2001,0,m,0--14
71,AN,2002,0,m,0--14
72,AN,2003,0,m,0--14
73,AN,2004,1,m,0--14
74,AN,2006,0,m,0--14
75,AO,1995,386,m,0--14
76,AO,1996,360,m,0--14
77,AO,1997,419,m,0--14
78,AO,1998,240,m,0--14
79,AO,1999,391,m,0--14
80,AO,2000,186,m,0--14
81,AO,2001,230,m,0--14
82,AO,2002,435,m,0--14
83,AO,2003,409,m,0--14
84,AO,2004,554,m,0--14
85,AO,2005,520,m,0--14
86,AO,2006,540,m,0--14
87,AO,2007,484,m,0--14
88,AO,2008,367,m,0--14
89,AR,1996,113,m,0--14
90,AR,1997,96,m,0--14
91,AR,1998,84,m,0--14
92,AR,1999,90,m,0--14
93,AR,2000,97,m,0--14
94,AR,2001,78,m,0--14
95,AR,2002,70,m,0--14
96,AR,2003,89,m,0--14
97,AR,2004,64,m,0--14
98,AR,2005,64,m,0--14
99,AR,2006,67,m,0--14
100,AR,2007,77,m,0--14
101,AR,2008,69,m,0--14
102,AS,1997,1,m,0--14
103,AT,1995,4,m,0--14
104,AT,1997,24,m,0--14
105,AT,1999,0,m,0--14
106,AT,2000,1,m,0--14
107,AT,2001,1,m,0--14
108,AT,2002,1,m,0--14
109,AT,2003,0,m,0--14
110,AT,2004,1,m,0--14
111,AT,2005,1,m,0--14
112,AT,2006,1,m,0--14
113,AT,2007,1,m,0--14
114,AU,1997,1,m,0--14
115,AU,1998,0,m,0--14
116,AU,1999,0,m,0--14
117,AU,2000,3,m,0--14
118,AU,2001,1,m,0--14
119,AU,2002,1,m,0--14
120,AU,2003,0,m,0--14
121,AU,2004,0,m,0--14
122,AU,2005,0,m,0--14
123,AU,2006,1,m,0--14
124,AU,2007,3,m,0--14
125,AU,2008,2,m,0--14
126,AZ,1995,0,m,0--14
127,AZ,1996,0,m,0--14
128,AZ,1997,0,m,0--14
129,AZ,1998,0,m,0--14
130,AZ,1999,0,m,0--14
131,AZ,2000,0,m,0--14
132,AZ,2001,3,m,0--14
133,AZ,2002,6,m,0--14
134,AZ,2003,3,m,0--14
135,AZ,2004,8,m,0--14
136,AZ,2005,77,m,0--14
137,AZ,2006,6,m,0--14
138,BA,1995,0,m,0--14
139,BA,1996,5,m,0--14
140,BA,1997,5,m,0--14
141,BA,1998,1,m,0--14
142,BA,1999,2,m,0--14
143,BA,2000,4,m,0--14
144,BA,2001,6,m,0--14
145,BA,2002,1,m,0--14
146,BA,2003,4,m,0--14
147,BA,2004,3,m,0--14
148,BA,2005,1,m,0--14
149,BA,2006,0,m,0--14
150,BA,2007,0,m,0--14
151,BA,2008,0,m,0--14
152,BB,1996,0,m,0--14
153,BB,2000,0,m,0--14
154,BB,2001,0,m,0--14
155,BB,2007,0,m,0--14
156,BB,2008,0,m,0--14
157,BD,1995,29,m,0--14
158,BD,1996,45,m,0--14
159,BD,1997,201,m,0--14
